mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7114560604095459,0.06726416356749557,0.023070049285888673,0.014129116223159844,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.5829493087557603,0.7320099255583127,0.8163771712158809,0.6054590570719602,0.738095238095238,0.6949781401394304,0.0877864309653528,1,0.9937106918238994,0.9923215898825655,0.9771153267088226,0.9908160192713039,0.9934570906877663,0.9894841436748715,0.006268343384800624
1.477849531173706,0.08772926590297588,0.016974973678588866,0.01126880674282603,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.5092165898617511,0.7344913151364765,0.7493796526054591,0.5558312655086849,0.7166666666666666,0.6531170979558076,0.1000986311169511,42,0.9996932044792146,0.9996988858777477,0.9993977717554953,0.9978922011442337,1.0,0.9993364126513382,0.0007467994690039706
2.217253875732422,0.2144056095210394,0.014156341552734375,0.006401175023329943,0.01,3,300,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.5,0.7444168734491315,0.7320099255583127,0.6079404466501241,0.7142857142857143,0.6597305919886566,0.0933471058672483,19,1.0,1.0,1.0,0.9996988858777477,1.0,0.9999397771755495,0.00012044564890092423
3.013266849517822,0.3484072945332887,0.015247488021850586,0.00702056836217828,0.01,3,400,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}",0.49769585253456217,0.7593052109181142,0.7096774193548387,0.6228287841191067,0.7357142857142858,0.6650443105281815,0.09556059250705293,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.568288040161133,0.4590352409289611,0.016307592391967773,0.012263007727548715,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.5023041474654378,0.7642679900744417,0.7146401985111662,0.607940446650124,0.7404761904761904,0.6659257946354721,0.09771016945266814,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.9776994705200195,0.12778305358633996,0.019005775451660156,0.00848913655845817,0.01,4,100,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",0.5714285714285714,0.6972704714640198,0.6774193548387096,0.6228287841191067,0.7142857142857143,0.6566465792272244,0.052554411492297455,35,1.0,1.0,0.9974405299608552,0.9989461005721169,1.0,0.9992773261065946,0.0010050177216668734
2.0992057800292967,0.4714672474868506,0.012488269805908203,0.005169251786838648,0.01,4,200,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}",0.5599078341013826,0.6873449131513647,0.6327543424317618,0.6377171215880894,0.6761904761904762,0.6387829374926148,0.044757907208091564,81,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.7739417552948,0.4617262512419123,0.01672506332397461,0.009956854736244561,0.01,4,300,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",0.5552995391705069,0.6774193548387096,0.6476426799007444,0.6302729528535981,0.6928571428571428,0.6406983339241403,0.047997586154305105,77,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.916107988357544,0.3730978010242742,0.024678850173950197,0.021349933244434485,0.01,4,400,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 400}",0.5368663594470046,0.7022332506203475,0.6426799007444168,0.6054590570719602,0.7023809523809523,0.6379239040529363,0.06257733815191413,84,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.652116155624389,0.640832536256687,0.011134099960327149,0.0018169620807643786,0.01,4,500,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500}",0.5276497695852534,0.7146401985111662,0.6600496277915633,0.6178660049627792,0.6880952380952381,0.6416601677892,0.0653987858616917,74,1.0,1.0,1.0,1.0,1.0,1.0,0.0
