Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	chemical synaptic transmission, postsynaptic (GO:0099565)	5/25	4.980616647315845e-09	1.967343575689759e-07	0	0	106.0	2026.477485654208	GRIN2A;GRID2;GRIN2C;GRIN2B;GRIN1
GO_Biological_Process_2021	cellular response to peptide (GO:1901653)	6/57	7.519577539133215e-09	2.8410925571768537e-07	0	0	50.887468030690535	951.888554275872	APP;PRNP;GRM5;GRIN2A;FYN;GRIN1
GO_Biological_Process_2021	regulation of long-term synaptic depression (GO:1900452)	4/10	8.431193593097514e-09	3.052794680167392e-07	0	0	276.97222222222223	5149.281287917522	GRID2;KCNB1;FMR1;SHANK3
GO_Biological_Process_2021	regulation of postsynaptic membrane potential (GO:0060078)	5/35	2.9842518114184405e-08	1.03732592964905e-06	0	0	70.63120567375887	1223.850327523902	GRIN2A;GRID2;GRIN2C;GRIN2B;GRIN1
GO_Biological_Process_2021	response to ethanol (GO:0045471)	4/15	5.4280416916976746e-08	1.8142185500327995e-06	0	0	151.03787878787878	2526.72812861205	GRIN2A;GRIN3A;GRIN2B;GRIN1
GO_Biological_Process_2021	regulation of neuron death (GO:1901214)	6/86	9.200727358032769e-08	2.9612711385668425e-06	0	0	32.393478260869564	524.819640464059	PRNP;GRID2;GRM4;FYN;GRIN2B;SULT1A3
GO_Biological_Process_2021	long-term synaptic potentiation (GO:0060291)	4/21	2.352762314481672e-07	7.301965897444901e-06	0	0	97.70098039215686	1491.1617564659618	GRIN2A;PTK2B;GRIN2C;GRIN2B
GO_Biological_Process_2021	modulation of excitatory postsynaptic potential (GO:0098815)	4/27	6.820125575509625e-07	2.0436859052130567e-05	0	0	72.19202898550725	1024.9981485374628	APP;PTK2B;SHANK3;GRIN1
GO_Biological_Process_2021	regulation of signal transduction (GO:0009966)	7/198	7.69087244863321e-07	2.2277893859540862e-05	0	0	16.09063408958697	226.52493502437636	APP;PRNP;HOMER1;FRRS1L;FYN;PLCB1;CX3CL1
GO_Biological_Process_2021	positive regulation of endopeptidase activity (GO:0010950)	4/30	1.0588769183046295e-06	2.8755126312710096e-05	0	0	63.8525641025641	878.5028426816859	NCSTN;FYN;GRIN2B;GRIN1
