Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Sphingolipid signaling pathway	3/119	0.0036708112031068	0.0111271464594177	0	0	10.467276565798734	58.69360584647153	GNAQ;FYN;PLCB1
KEGG_2021_Human	Growth hormone synthesis, secretion and action	3/119	0.0036708112031068	0.0111271464594177	0	0	10.467276565798734	58.69360584647153	GNAQ;SSTR1;PLCB1
KEGG_2021_Human	Platelet activation	3/124	0.0041198441521441	0.0118853652316948	0	0	10.032214538708043	55.09631974674811	GNAQ;FYN;PLCB1
KEGG_2021_Human	African trypanosomiasis	2/37	0.0041660043080167	0.0118853652316948	0	0	22.75771428571429	124.7304327126967	GNAQ;PLCB1
KEGG_2021_Human	Estrogen signaling pathway	3/137	0.0054389862354306	0.0150737618524791	0	0	9.053000304599452	47.20381550881496	GNAQ;PLCB1;GRM1
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	2/53	0.0083943991443273	0.022618242138882	0	0	15.605490196078431	74.59721698273636	GNAQ;PLCB1
KEGG_2021_Human	GnRH secretion	2/64	0.0120597924097584	0.0316162125336911	0	0	12.82967741935484	56.67995347918715	GNAQ;PLCB1
KEGG_2021_Human	Cortisol synthesis and secretion	2/65	0.0124221288506946	0.0317091183820362	0	0	12.625396825396823	55.40372350726887	GNAQ;PLCB1
KEGG_2021_Human	Renin secretion	2/69	0.013918599590371	0.0346180553914357	0	0	11.869253731343283	50.73547205180672	GNAQ;PLCB1
KEGG_2021_Human	Thyroid hormone synthesis	2/75	0.0163018398897164	0.0395319617325623	0	0	10.89041095890411	44.8301295094724	GNAQ;PLCB1
KEGG_2021_Human	Gastric acid secretion	2/76	0.0167148812767848	0.0395449630206861	0	0	10.742702702702704	43.95329394594533	GNAQ;PLCB1
KEGG_2021_Human	Insulin secretion	2/86	0.0210863262216803	0.048699372464357	0	0	9.459047619047618	36.503699119744766	GNAQ;PLCB1
KEGG_2021_Human	Ras signaling pathway	3/232	0.0224435908179267	0.0506285653334626	0	0	5.271990018714909	20.01642911844064	GRIN2A;GRIN2B;GRIN1
KEGG_2021_Human	Salivary secretion	2/93	0.0243983584555714	0.0537872902316006	0	0	8.728351648351648	32.41045945904038	GNAQ;PLCB1
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	2/98	0.0268859021542303	0.0573028121239127	0	0	8.271666666666667	29.91161399551651	GNAQ;PLCB1
KEGG_2021_Human	Melanogenesis	2/101	0.0284257498509601	0.0573028121239127	0	0	8.01979797979798	28.55416879007389	GNAQ;PLCB1
KEGG_2021_Human	Amoebiasis	2/102	0.0289467813821827	0.0573028121239127	0	0	7.9392	28.12299846463146	GNAQ;PLCB1
KEGG_2021_Human	Chagas disease	2/102	0.0289467813821827	0.0573028121239127	0	0	7.9392	28.12299846463146	GNAQ;PLCB1
KEGG_2021_Human	Pancreatic secretion	2/102	0.0289467813821827	0.0573028121239127	0	0	7.9392	28.12299846463146	GNAQ;PLCB1
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	2/106	0.0310690468506043	0.0601191459957209	0	0	7.632307692307692	26.495886125455133	GNAQ;PLCB1
KEGG_2021_Human	Glucagon signaling pathway	2/107	0.0316090355235233	0.0601191459957209	0	0	7.559238095238095	26.11196886622433	GNAQ;PLCB1
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	2/131	0.0456360412198942	0.0851287691986488	0	0	6.145426356589147	18.971284506471022	PTK2B;FYN
KEGG_2021_Human	Vascular smooth muscle contraction	2/133	0.0468924926367904	0.0856429060032161	0	0	6.050992366412213	18.51541755241091	GNAQ;PLCB1
KEGG_2021_Human	Systemic lupus erythematosus	2/135	0.0481616413121925	0.0856429060032161	0	0	5.959398496240602	18.07600221640089	GRIN2A;GRIN2B
KEGG_2021_Human	Apelin signaling pathway	2/137	0.0494433271771144	0.0856429060032161	0	0	5.870518518518519	17.65222751068511	GNAQ;PLCB1
KEGG_2021_Human	Yersinia infection	2/137	0.0494433271771144	0.0856429060032161	0	0	5.870518518518519	17.65222751068511	GNAQ;PTK2B
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	2/150	0.0580690304785808	0.0988192273056551	0	0	5.351351351351352	15.230603067672018	GNAQ;PLCB1
KEGG_2021_Human	Oxytocin signaling pathway	2/154	0.0608217348853694	0.101137923493933	0	0	5.209473684210527	14.585526473091669	GNAQ;PLCB1
KEGG_2021_Human	Cushing syndrome	2/155	0.0615168813004335	0.101137923493933	0	0	5.175163398692811	14.430651512377356	GNAQ;PLCB1
KEGG_2021_Human	cGMP-PKG signaling pathway	2/167	0.0700680269619845	0.1132766435885416	0	0	4.795878787878788	12.74883036486604	GNAQ;PLCB1
KEGG_2021_Human	Ferroptosis	1/41	0.1013354785701334	0.1611400233000483	0	0	9.758823529411766	22.34105716043935	PRNP
KEGG_2021_Human	Human immunodeficiency virus 1 infection	2/212	0.1051513041060845	0.1645109112627451	0	0	3.759619047619048	8.467996664392954	GNAQ;PTK2B
KEGG_2021_Human	Carbohydrate digestion and absorption	1/47	0.1152939757922138	0.177516121457853	0	0	8.483375959079284	18.32638344153777	PLCB1
KEGG_2021_Human	Chemical carcinogenesis	2/239	0.1280580471313923	0.1940879776835164	0	0	3.3267510548523207	6.83737704529742	SULT1A4;SULT1A3
KEGG_2021_Human	Notch signaling pathway	1/59	0.1425760382538463	0.2127673186249707	0	0	6.724137931034483	13.097812581459925	NCSTN
KEGG_2021_Human	Viral myocarditis	1/60	0.1448119331189623	0.2128296592808992	0	0	6.609837155201063	12.772316508882604	FYN
KEGG_2021_Human	Fc epsilon RI signaling pathway	1/68	0.1624944201180422	0.235253115693285	0	0	5.818261633011414	10.572430795578446	FYN
KEGG_2021_Human	Adherens junction	1/71	0.1690324819413651	0.2411198639457708	0	0	5.568067226890756	9.898154784103552	FYN
KEGG_2021_Human	Inositol phosphate metabolism	1/73	0.1733633521647541	0.2437136979707413	0	0	5.412854030501089	9.4852991224055	PLCB1
KEGG_2021_Human	Synaptic vesicle cycle	1/78	0.1840939081302401	0.2551015584090469	0	0	5.060096765979119	8.563248721315855	SLC1A1
KEGG_2021_Human	Phosphatidylinositol signaling system	1/97	0.2236382313120778	0.3011034371790259	0	0	4.054738562091504	6.072885630165238	PLCB1
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	1/100	0.2297077768169888	0.3011034371790259	0	0	3.9312735195088138	5.782696221966044	PLCB1
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	1/100	0.2297077768169888	0.3011034371790259	0	0	3.9312735195088138	5.782696221966044	CX3CL1
KEGG_2021_Human	Progesterone-mediated oocyte maturation	1/100	0.2297077768169888	0.3011034371790259	0	0	3.9312735195088138	5.782696221966044	CPEB4
KEGG_2021_Human	Protein digestion and absorption	1/103	0.23573077652645	0.3034162043569795	0	0	3.815071126489812	5.513025385693579	SLC1A1
KEGG_2021_Human	T cell receptor signaling pathway	1/104	0.2377281601147468	0.3034162043569795	0	0	3.777841233580811	5.427350389540752	FYN
KEGG_2021_Human	TNF signaling pathway	1/112	0.2535239877989193	0.3193743742401971	0	0	3.504151210033563	4.808735611393264	CX3CL1
KEGG_2021_Human	Leukocyte transendothelial migration	1/114	0.2574225118574089	0.3201279955149829	0	0	3.441783793163283	4.670626332211447	PTK2B
